observation_date,CSUSHPINSA
2019-11-01,212.092999999999989
2019-12-01,212.225999999999999
2020-01-01,212.388000000000005
2020-02-01,213.207999999999998
2020-03-01,215.181000000000012
2020-04-01,217.222000000000008
2020-05-01,218.467999999999989
2020-06-01,219.794999999999987
2020-07-01,221.555000000000007
2020-08-01,224.038000000000011
2020-09-01,226.789999999999992
2020-10-01,229.801999999999992
2020-11-01,232.306000000000012
2020-12-01,234.354000000000013
2021-01-01,236.425000000000011
2021-02-01,239.203000000000003
2021-03-01,244.197000000000003
2021-04-01,249.802999999999997
2021-05-01,255.426999999999992
2021-06-01,261.151999999999987
2021-07-01,265.490000000000009
2021-08-01,268.765999999999963
2021-09-01,271.417000000000030
2021-10-01,273.624000000000024
2021-11-01,275.992000000000019
2021-12-01,278.564000000000021
2022-01-01,281.937999999999988
2022-02-01,287.156999999999982
2022-03-01,294.959999999999980
2022-04-01,301.591999999999985
2022-05-01,306.362000000000023
2022-06-01,308.158999999999992
2022-07-01,306.999000000000024
2022-08-01,303.579999999999984
2022-09-01,300.415999999999997
2022-10-01,298.632000000000005
2022-11-01,296.817000000000007
2022-12-01,294.307000000000016
2023-01-01,292.802999999999997
2023-02-01,293.574999999999989
2023-03-01,297.514999999999986
2023-04-01,301.646999999999991
2023-05-01,305.519999999999982
2023-06-01,308.471000000000004
2023-07-01,310.384000000000015
2023-08-01,311.750000000000000
2023-09-01,312.600000000000023
2023-10-01,312.959000000000003
2023-11-01,312.199000000000012
2023-12-01,311.017999999999972
2024-01-01,310.853000000000009
2024-02-01,312.772999999999968
2024-03-01,316.968000000000018
2024-04-01,320.912000000000035
2024-05-01,323.834999999999980
2024-06-01,325.392999999999972
2024-07-01,325.705999999999960
2024-08-01,325.147999999999968
2024-09-01,324.788000000000011
2024-10-01,324.187999999999988
2024-11-01,323.912000000000035
